query_id,minilm_ndcg,minilm_mrr,minilm_precision,system_ndcg,system_mrr,system_precision,system,ndcg_delta_vs_minilm,mrr_delta_vs_minilm,precision_delta_vs_minilm
q048,0.955830517697074,1.0,1.0,0.7979453132134117,1.0,0.9,bm25,-0.15788520448366228,0.0,-0.09999999999999998
q049,0.5645252544249327,0.5,0.6,0.26502941682908204,0.5,0.4,bm25,-0.2994958375958507,0.0,-0.19999999999999996
q050,1.0,1.0,0.2,0.8503449055347546,1.0,0.2,bm25,-0.1496550944652454,0.0,0.0
q051,0.9067533310829988,1.0,0.8,0.9708046242496406,1.0,0.8,bm25,0.06405129316664182,0.0,0.0
q052,0.9052116356304494,1.0,0.9,0.5708831046554339,1.0,0.8,bm25,-0.33432853097501547,0.0,-0.09999999999999998
q053,0.6661044668987254,1.0,0.6,0.4276162850408946,0.5,0.5,bm25,-0.23848818185783077,-0.5,-0.09999999999999998
q054,0.8854598815714875,1.0,0.3,0.7039180890341348,1.0,0.2,bm25,-0.1815417925373527,0.0,-0.09999999999999998
q055,1.0,1.0,1.0,1.0,1.0,1.0,bm25,0.0,0.0,0.0
q056,0.7273298443105218,1.0,0.6,0.6979551436325814,1.0,0.7,bm25,-0.029374700677940457,0.0,0.09999999999999998
q057,0.7976000064097211,1.0,0.4,0.524217554643016,0.5,0.4,bm25,-0.27338245176670506,-0.5,0.0
q058,0.6952122615635931,1.0,1.0,0.7737810366976433,1.0,0.8,bm25,0.07856877513405025,0.0,-0.19999999999999996
q059,0.8062532112739409,1.0,0.8,0.7595955465021778,1.0,0.8,bm25,-0.04665766477176314,0.0,0.0
q060,0.5804490216608788,1.0,0.4,0.6542821788478812,1.0,0.8,bm25,0.07383315718700245,0.0,0.4
q001,0.49090027111585044,1.0,0.8,0.41922749373282303,1.0,0.8,qwen3_embedding_0.6b,-0.07167277738302741,0.0,0.0
q002,0.5947718986560576,1.0,1.0,0.632764759759932,1.0,0.8,qwen3_embedding_0.6b,0.03799286110387434,0.0,-0.19999999999999996
q003,0.6324435927684925,1.0,0.7,0.5880551155882567,1.0,0.7,qwen3_embedding_0.6b,-0.04438847718023575,0.0,0.0
q004,0.4394900292566279,1.0,0.6,0.7213741760793153,1.0,1.0,qwen3_embedding_0.6b,0.2818841468226874,0.0,0.4
q005,0.38635002366809995,1.0,0.6,0.6351841902332312,1.0,0.6,qwen3_embedding_0.6b,0.2488341665651313,0.0,0.0
q006,0.5466304839501731,1.0,0.4,0.6712874740733037,1.0,0.4,qwen3_embedding_0.6b,0.12465699012313058,0.0,0.0
q007,0.6961622681399229,1.0,0.7,0.5117884298336938,1.0,0.5,qwen3_embedding_0.6b,-0.1843738383062291,0.0,-0.19999999999999996
q008,1.0,1.0,1.0,1.0,1.0,1.0,qwen3_embedding_0.6b,0.0,0.0,0.0
q009,0.31598177738436345,0.25,0.4,0.7917267193679839,1.0,0.7,qwen3_embedding_0.6b,0.47574494198362044,0.75,0.29999999999999993
q010,0.5446883027501755,1.0,0.9,0.7309989523023465,1.0,1.0,qwen3_embedding_0.6b,0.18631064955217091,0.0,0.09999999999999998
q011,0.09803928583135704,0.1,0.1,0.16958010263680806,0.3333333333333333,0.1,qwen3_embedding_0.6b,0.07154081680545102,0.2333333333333333,0.0
q012,0.14606834984270645,0.25,0.1,0.7227265726449517,1.0,0.3,qwen3_embedding_0.6b,0.5766582228022452,0.75,0.19999999999999998
q013,0.4080877936181632,1.0,0.4,0.7414861527359006,1.0,0.8,qwen3_embedding_0.6b,0.33339835911773735,0.0,0.4
q014,0.722216034582192,1.0,0.8,0.933745776545611,1.0,0.9,qwen3_embedding_0.6b,0.211529741963419,0.0,0.09999999999999998
q015,0.7884282553641707,1.0,0.4,0.832043413136525,1.0,0.4,qwen3_embedding_0.6b,0.04361515777235425,0.0,0.0
q016,0.9074250374176304,1.0,1.0,0.9537125187088151,1.0,1.0,qwen3_embedding_0.6b,0.04628748129118476,0.0,0.0
q017,0.3508948749050558,1.0,0.4,0.6234647659459298,1.0,0.5,qwen3_embedding_0.6b,0.27256989104087403,0.0,0.09999999999999998
q018,0.6347289430958043,0.5,0.3,0.35098520806348704,0.5,0.1,qwen3_embedding_0.6b,-0.28374373503231726,0.0,-0.19999999999999998
