video_id,video_title,available,comment_count,view_count
psDO1rPFQ1Y,How Smartphones Are Made in Factory,True,1965.0,8486859.0
agcxqXO0Dps,Top Upcoming Smartphones - July 2020🔥🔥🔥,True,9953.0,1210023.0
-6WD98IQQFA,Best Smart Phones 2020 | E Review,True,31.0,6833.0
9I1PlRwyVDw,"TOP 5 BEST MOBILE PHONES UNDER ₹15000 BUDGET 📱⚡️Ft. Samsung,  Vivo, Realme, Xiaomi , Honor",True,2412.0,653643.0
vin2CjR7viI,10 MOST UNUSUAL AND COOLEST SMARTPHONES,True,1585.0,9363264.0
Strjq-WZF7Y,Top Smartphones of 2020?  ft. MKBHD,True,3859.0,2318905.0
X3paOmcrTjQ,Data Science In 5 Minutes | Data Science For Beginners | What Is Data Science? | Simplilearn,True,1115.0,4519435.0
lP1hb4BFAWA,Step By Step Action Plan For Learning Data Science in 2020,True,418.0,249520.0
qcqT5SqE8BY,Data Science in Hindi,True,848.0,484237.0
Vsi2Wn6mAlc,Entry Level Data Science Jobs | Which Data Science Role to Choose & How to Build a Good Resume?,False,,
BgpIzWmcEhA,"How to become Data Scientist? Sexiest Job / Salary? Ft. Ex-Google, Facebook, Microsoft Engineer",True,236.0,101561.0
tBU65SsJG_8,How To Become A Data Scientist In India,True,297.0,286056.0
dM_MzB2sCQk,Data Scientist Salary: How much a data scientist earn,True,50.0,21414.0
355u2bDqB7c,Live-Discussing All Hyperparameter Tuning Techniques Data Science Machine Learning,True,72.0,88874.0
dYZJxhYjBE8,Real Talk with Instagram Data Scientist,True,23.0,939905.0
4OZip0cgOho,How I Would Learn Data Science (If I Had to Start Over),True,1964.0,1413535.0
iLcvvVXBSFo,HOW TO BECOME DATA SCIENTIST IN 2024- in Hindi| SALARY OF DATA SCIENTIST| Sangwans Studio|,True,4843.0,1288705.0
bM58Js0m-2A,What is data science In telugu-డేటా సైన్స్ అంటే ఏమిటి-9059868766 Artificial intelligence AI Demo,True,123.0,78958.0
csG_qfOTvxw,How To Learn Data Science Smartly?,True,1296.0,1715800.0
xC-c7E5PK0Y,What REALLY is Data Science? Told by a Data Scientist,True,3778.0,4148831.0
KdgQvgE3ji4,Data Science in 8 Minutes | Data Science for Beginners | What is Data Science? | Edureka,True,73.0,421428.0
qoxCynmob7I,IIT Madras Online B.Sc. Degree/Diploma in Programming and Data Science 🔥|| Without JEE,False,,
NXoN3-BZpsQ,My Path on Becoming a Data Scientist- Motivation,True,465.0,164740.0
Rr4i9l80Ecs,A day in the life of a data science student | EXAM WEEK (machine learning),True,220.0,92428.0
Dt89dX0c7Cw,Salary Of Data Scientist In India And US In 2020,True,329.0,175144.0
Vfo5le26IhY,Statistics for Data Science | Probability and Statistics | Statistics Tutorial | Ph.D. (Stanford),True,908.0,2198976.0
de7ZUb1fH3s,A Day in The Life of a Data Scientist 👨🏻‍💻| upGrad,True,639.0,2309974.0
FGjYeKSfLr4,Live- Data Science Virtual Interview By Krish And Sudhanshu-Part 1,True,154.0,98545.0
S8MmsBsGP-Q,Data Science & Artificial Intelligence Career Advice by Real-Life Data Scientists,False,,
-ETQ97mXXF0,Data Science Full Course - Learn Data Science in 10 Hours | Data Science For Beginners | Edureka,True,751.0,4649351.0
_uQrJ0TkZlc,Python Full Course for Beginners,True,63145.0,48781091.0
u2zsY-2uZiE,Data Science Course for Beginners (11 Hours Data Science Tutorial),True,512.0,1013458.0
GJaYfNiY4to,How to Learn Data Science in 2020 | Step By Step Action Plan for Learning Data Science | Edureka,True,17.0,48163.0
cVxELmATmOU,Data Science பற்றி ஒரு எளிய விளக்கம்,True,162.0,79739.0
ua-CiDNNj30,Learn Data Science Tutorial - Full Course for Beginners,True,1499.0,4521315.0
k2P_pHQDlp0,AI VS ML VS DL VS Data Science,True,1774.0,2979327.0
Vs_ko7lF71w,DATA SCIENCE என்றால்  என்ன? (Tamil),True,196.0,54048.0
edvg4eHi_Mw,Python for Data Science | Data Science with Python | Python for Data Analysis | 11 Hours Full Course,True,627.0,520234.0
iJUzouXg5kY,Demystifying Data Science | Mr.Asitang Mishra | TEDxOakLawn,True,88.0,162740.0
rfscVS0vtbw,Learn Python - Full Course for Beginners [Tutorial],True,46100.0,49181524.0
Scg59_McA8Q,Highest Paid Jobs of Future | Data Scientist Complete Detail Hindi | Courses | Salary | Degree's,False,,
XrOLiypGDCQ,How to become a data scientist for free? | Step by step approach to become data scientist,True,249.0,62329.0
im1Xkj9gU9s,Meet The 12-Year-Old Who Is Working As A Data Scientist In Hyderabad,True,1817.0,516694.0
XOgx6OyGF1Y,FREE Data Science Online Courses with FREE certificate,True,903.0,608293.0
Bi7f1JSSlh8,Most Research in Deep Learning is a Total Waste of Time - Jeremy Howard | AI Podcast Clips,True,297.0,262015.0
lXvPopmYJ5E,Best Books For Machine Learning 2020 | These Books Will Help You Learn Machine Learning |Simplilearn,True,9.0,9222.0
I74ymkoNTnw,🖥️ HOW TO GET STARTED WITH MACHINE LEARNING!,True,1421.0,903070.0
uOVhmOzX4VE,Machine Learning Course | Learn Machine Learning | Machine Learning Tutorial | Intellipaat,True,413.0,500516.0
czVeSFH4dWc,Sundar Pichai: How machine learning & deep learning improved technologies,True,10.0,54555.0
6Hm1pNqQxq0,Machine Learning Vs Artificial Intelligence? Same or Different?,True,2142.0,888228.0
63NTeLmDANo,What is machine learning and how to learn it ?,True,1110.0,1135348.0
HcqpanDadyQ,What is Machine Learning?,True,188.0,1078499.0
9f-GarcDY58,Machine Learning Full Course | Learn Machine Learning | Machine Learning Tutorial | Simplilearn,True,4617.0,1013172.0
OuPMVdski3E,Machine Learning in Hindi | Machine Learning Tutorial in Hindi | Python for Machine Learning | 2020,True,777.0,358469.0
aircAruvnKk,But what is a neural network? | Deep learning chapter 1,True,9237.0,24051837.0
fSytzGwwBVw,Machine Learning Fundamentals: Cross Validation,True,1727.0,1489230.0
i04Pfrb71vk,Difference between Classification and Regression - Georgia Tech - Machine Learning,True,35.0,173658.0
5cFUZ03Sbhc,Why Machine Learning is The Future? | Sundar Pichai Talks About Machine Learning,True,124.0,896743.0
hjh1ikznScg,Machine Learning Basics | What Is Machine Learning? | Introduction To Machine Learning | Edureka,True,33.0,141009.0
EIVyQThUrq8,Machine Learning? Teaching Computers!!! What is it?,True,620.0,225816.0
uoifG7TgF2k,How Did I Learn Machine Learning in 3 Months,True,586.0,341475.0
f_uwKZIAeM0,What is Machine Learning?,True,96.0,628949.0
k6lYkR0A6iI,How to start machine learning as a software engineer in 5 steps!,True,181.0,108021.0
GwIo3gDZCVQ,Machine Learning Full Course - Learn Machine Learning 10 Hours | Machine Learning Tutorial | Edureka,True,1342.0,3607686.0
VwVg9jCtqaU,Machine Learning Zero to Hero (Google I/O'19),True,820.0,1852494.0
LCvCLZc_XLc,Learning Machine Learning: Learning Deep Learning,True,5.0,514.0
vEBYLnHacQM,Machine Learning Books for Beginners,True,139.0,69113.0
cyLWtMSry58,Don't learn machine learning,True,438.0,234855.0
iahQOQZVdog,"Building a $5,000 Machine Learning Workstation with a NVIDIA TITAN RTX and RYZEN ThreadRipper",True,123.0,47465.0
9r2VVM4nfk8,Powered by TensorFlow: Air Cognizer predicts air quality with machine learning,True,203.0,87245.0
pHiMN_gy9mk,2020 Machine Learning Roadmap (87% valid for 2024),True,1110.0,1102486.0
RnFGwxJwx-0,Machine Learning with Python | Machine Learning Tutorial for Beginners | Machine Learning Tutorial,True,912.0,1400814.0
sDv4f4s2SB8,"Gradient Descent, Step-by-Step",True,3063.0,1840769.0
ukzFI9rgwfU,Machine Learning | What Is Machine Learning? | Introduction To Machine Learning | 2026 | Simplilearn,True,2228.0,5526668.0
K5YTQSCohbc,Doramon 4 Button Jumbo  Pencil Box With Calculator,True,3870.0,8708705.0
fhUfRIeRSZE,1950 Curta Calculator,True,1376.0,1810629.0
ISxpTXXZCqc,"how to use TAX+, TAX- on calculator in hindi",True,292.0,427417.0
2tL_0y_R1lE,Finding log and antilogarithm using simple calculator,True,686.0,904039.0
aEsXspkt4lk,[Complete]Build a Simple Calculator in Android Studio Part 2 for Beginners|[URDU|HINDI],True,11.0,1571.0
DagTKwy2FsA,How to Turn Off Calculator without Off Button (Manually),True,541.0,2253297.0
BAD-9SkknWo,YUNG CALCULATOR MOST TOXIC MOMENTS ( Funny Compilation ),False,,
3tm4aUZazDI,How to Calculate In and exponential by the help of Scientific Calculator,True,94.0,351927.0
DtISPzRn0fc,He's a Pirate - Pirates of the Caribbean Theme (Dual Calculator Cover),True,693.0,967288.0
1rNAIB0qjAQ,Calculator Awesome Tricks जिसे कोई नहीं जनता || By Technical Raghav,True,268.0,574611.0
e4PTvXtz4GM,Faster than a calculator | Arthur Benjamin | TEDxOxford,True,29488.0,24583672.0
x-Qw394_uRc,CALCULATE PERCENTAGE WITH ( + - × ÷ ) ON CALCULATOR IN HINDI,True,502.0,1697776.0
VLX59t9yUwY,Top Five Calculator Tips & Tricks for iPhone,True,88.0,242576.0
vUM7VnqWz5Q,How To Hide Apps And Videos | secret calculator hide app pro |  Android tricks,True,446.0,1049252.0
a2hMZPBqtog,Calculator me Photo Aur Video Kaise Hide kare || How to hide photos and Videos in Calculator,True,637.0,1509738.0
ZcmtlE4J-94,How to Check Percentage in Calculator | Percentage kaise nikale |find out Percentage from Calculator,True,789.0,2943047.0
3tkDfNuJS3A,How to recover photos from Calculator hide app - Hidex | Calculator lock app,True,2345.0,2176320.0
_KomtGXzT3o,CURTA Mechanical Calculator Demonstration,True,44.0,28729.0
AXPnz3iebkM,"2nd PLACE IN TRIO CUP 🥈 ($1,000) W/ ZexRow & Mackwood",True,68.0,13633.0
6_0-uEgEcI0,Disney Princess Password Diary and Hello Kitty Calculator Pencil Box,False,,
SYPUiDvObVA,Flipkart commission calculator,True,288.0,224831.0
xW5xMJ7T3QM,calculator app lock forgot  password. New Trick @VIP_Ronak_Singh,True,1945.0,392628.0
ndxUg-sG2BM,How to Check Percentage in Calculator: find out Percentage on Mobile calculator in Hindi,True,1341.0,4331242.0
FJliMTWEOfs,Lion Family Learn Numbers 🍒 the Math Contest vs Calculator | Cartoon for Kids,False,,
PAc5ToNhGNw,Date of birth kaise nikalte hai|Date of birth|age calculator trick|age kaise nikalte hai💥,True,6469.0,15637103.0
g2KsVwli6mY,"New Arena Calculator, made by Wystix, is being hosted on site! Use it to tune your arena team!",True,91.0,6834.0
NeZFiSTsc4A,"How To Use All Features In Calculator In Hindi (M+, M-, GT, MU, DISP Etc.)",False,,
kvymoFdjuHw,15 Year Old YAASHWIN SARAWANAN Is A HUMAN CALCULATOR! | Asia's Got Talent 2019 on AXN Asia,True,82646.0,83691908.0
